Epoch,Avg Training Loss,Min
0,9.6069,8.9781
1,9.0855,8.9781
2,8.9939,8.9781
3,8.99,8.9781
4,9.0401,8.9781
5,9.0589,8.9781
6,9.0756,8.9781
7,9.1162,8.9781
8,9.1578,8.9781
9,9.2185,8.9781
10,9.2605,8.9781
11,9.2243,8.9781
12,9.193,8.9781
13,9.16,8.9781
14,9.1484,8.9781
15,9.1352,8.9781
16,9.1113,8.9781
17,9.0818,8.9781
18,9.0905,8.9781
19,9.0702,8.9781
20,9.0405,8.9781
21,9.0526,8.9781
22,9.046,8.9781
23,9.0122,8.9781
24,9.0293,8.9781
25,9.0379,8.9781
26,8.9967,8.9781
27,9.0144,8.9781
28,9.0061,8.9781
29,9.0139,8.9781
30,9.0023,8.9781
31,9.0098,8.9781
32,9.0055,8.9781
33,9.0123,8.9781
34,8.9852,8.9781
35,9.0106,8.9781
36,8.9931,8.9781
37,8.9783,8.9781
38,8.9781,8.9781
39,8.9815,8.9781
40,8.9954,8.9781
41,8.9905,8.9781
42,9.0028,8.9781
43,8.9853,8.9781
44,9.0091,8.9781
45,8.9989,8.9781
46,9.013,8.9781
47,9.025,8.9781
48,9.0067,8.9781
49,9.0065,8.9781
50,9.0005,8.9781
51,9.0238,8.9781
52,9.0198,8.9781
53,9.0341,8.9781
54,9.0236,8.9781
55,9.0336,8.9781
56,9.03,8.9781
57,9.0217,8.9781
58,8.9972,8.9781
59,9.0029,8.9781
60,9.006,8.9781
61,9.0148,8.9781
62,9.0234,8.9781
63,9.0197,8.9781
64,9.035,8.9781
65,9.0285,8.9781
66,9.031,8.9781
67,9.034,8.9781
68,9.047,8.9781
69,9.0154,8.9781
70,9.0366,8.9781
71,9.0535,8.9781
72,9.0358,8.9781
73,9.0766,8.9781
74,9.0351,8.9781
75,9.0228,8.9781
76,9.0325,8.9781
77,9.0105,8.9781
78,9.036,8.9781
79,9.0339,8.9781
80,9.0096,8.9781
81,9.0425,8.9781
82,9.055,8.9781
83,9.0468,8.9781
84,9.0606,8.9781
85,9.0562,8.9781
86,9.0363,8.9781
87,9.0471,8.9781
88,9.0429,8.9781
89,9.0296,8.9781
90,9.0535,8.9781
91,9.0421,8.9781
92,9.0441,8.9781
93,9.0194,8.9781
94,9.0389,8.9781
95,9.0191,8.9781
96,10.0717,8.9781
97,9.7322,8.9781
98,9.6124,8.9781
99,9.5493,8.9781
100,9.4802,8.9781
101,9.4402,8.9781
102,9.3861,8.9781
103,9.3604,8.9781
104,9.3645,8.9781
105,9.3442,8.9781
106,9.3622,8.9781
107,9.3015,8.9781
108,9.3329,8.9781
109,9.308,8.9781
110,9.3047,8.9781
111,9.2978,8.9781
112,9.3186,8.9781
113,9.2961,8.9781
114,9.3135,8.9781
115,9.334,8.9781
116,9.3179,8.9781
117,9.2829,8.9781
118,9.317,8.9781
119,9.3018,8.9781
120,9.324,8.9781
121,9.3198,8.9781
122,9.3142,8.9781
123,9.328,8.9781
124,9.3275,8.9781
125,9.3221,8.9781
126,9.3174,8.9781
127,9.316,8.9781
128,9.3336,8.9781
129,9.3202,8.9781
130,9.3152,8.9781
131,9.3304,8.9781
132,9.3296,8.9781
133,9.3239,8.9781
134,9.3554,8.9781
135,9.3328,8.9781
136,9.3494,8.9781
137,9.3307,8.9781
138,9.3346,8.9781
139,9.3146,8.9781
140,9.3164,8.9781
141,9.3101,8.9781
142,9.3319,8.9781
143,9.3355,8.9781
144,9.3435,8.9781
145,9.3338,8.9781
146,9.3164,8.9781
147,9.3109,8.9781
148,9.3141,8.9781
149,9.3215,8.9781
150,9.323,8.9781
151,9.3191,8.9781
152,9.3233,8.9781
153,9.325,8.9781
154,9.2827,8.9781
155,9.3174,8.9781
156,9.2818,8.9781
157,9.3004,8.9781
158,9.2944,8.9781
159,9.303,8.9781
160,9.2755,8.9781
161,9.2764,8.9781
162,9.2689,8.9781
163,9.2838,8.9781
164,9.2797,8.9781
165,9.2979,8.9781
166,9.2568,8.9781
167,9.2503,8.9781
168,9.2778,8.9781
